,sig_eff,bkg_eff,bkg_rej
0,0.0,0.0,1.0
1,8.430015068651935e-05,0.0,1.0
2,0.0001686003013730387,0.0,1.0
3,0.00029505052740281775,0.0,1.0
4,0.0003161255650744476,0.0,1.0
5,0.00036881315925352216,0.0,1.0
6,0.00041096323459678186,0.0,1.0
7,0.00047418834761167133,0.0,1.0
8,0.000516338422954931,0.0,1.0
9,0.000526875941790746,0.0,1.0
10,0.0005690260171340056,0.0,1.0
11,0.0005901010548056355,0.0,1.0
12,0.0006217136113130802,0.0,1.0
13,0.0006744012054921548,0.0,1.0
14,0.0007165512808354144,0.0,1.0
15,0.0007692388750144891,0.0,1.0
16,0.0007903139126861189,0.0,1.0
17,0.0008113889503577488,0.0,1.0
18,0.0008324639880293786,0.0,1.0
19,0.0008535390257010084,0.0,1.0
20,0.0008956891010442681,0.0,1.0
21,0.0009694517328949725,0.0,1.0
22,0.0009905267705666023,0.0,1.0
23,0.0010642894024173069,0.0,1.0
24,0.0010853644400889366,0.0,1.0
25,0.001169664590775456,0.0,1.0
26,0.001190739628447086,0.0,1.0
27,0.0012750397791336052,0.0,1.0
28,0.0013171898544768648,0.0,1.0
29,0.0014541775993424588,0.0,1.0
30,0.0014752526370140886,0.0,1.0
31,0.0014857901558499036,0.0,1.0
32,0.0015068651935215335,0.0,1.0
33,0.0015279402311931633,0.0,1.0
34,0.001549015268864793,0.0,1.0
35,0.001559552787700608,0.0,1.0
36,0.0015806278253722378,0.0,1.0
37,0.0016543904572229424,0.0,1.0
38,0.001675465494894572,0.0,1.0
39,0.0017597656455810916,0.0,1.0
40,0.001801915720924351,0.0,1.0
41,0.001833528277431796,0.0,1.0
42,0.0018546033151034258,0.0,1.0
43,0.0018756783527750557,0.0,1.0
44,0.0019072909092825003,0.0,1.0
45,0.0019283659469541302,0.0,1.0
46,0.00194944098462576,0.0,1.0
47,0.00197051602229739,0.0,1.0
48,0.002075891210655539,0.0,1.0
49,0.0020969662483271687,0.0,1.0
50,0.0021391163236704285,0.0,1.0
51,0.002170728880177873,0.0,1.0
52,0.002191803917849503,0.0,1.0
53,0.002212878955521133,0.0,1.0
54,0.0022550290308643926,0.0,1.0
55,0.0022971791062076524,0.0,1.0
56,0.0023182541438792822,0.0,1.0
57,0.002349866700386727,0.0,1.0
58,0.0023709417380583567,0.0,1.0
59,0.0024341668510732464,0.0,1.0
60,0.0024552418887448762,0.0,1.0
61,0.002486854445252321,0.0,1.0
62,0.002497391964088136,0.0,1.0
63,0.0025184670017597654,0.0,1.0
64,0.0025290045205955806,0.0,1.0
65,0.002560617077103025,0.0,1.0
66,0.002602767152446285,0.0,1.0
67,0.002623842190117915,0.0,1.0
68,0.0026659922654611746,0.0,1.0
69,0.0026870673031328045,0.0,1.0
70,0.0027292173784760642,0.0,1.0
71,0.0027924424914909534,0.0,1.0
72,0.0028135175291625833,0.0,1.0
73,0.002834592566834213,0.0,1.0
74,0.002855667604505843,0.0,1.0
75,0.0029399677551923626,0.0,1.0
76,0.0029610427928639924,0.0,1.0
77,0.002971580311699807,0.0,1.0
78,0.002992655349371437,0.0,1.0
79,0.0030874930188937713,0.0,1.0
80,0.003108568056565401,0.0,1.0
81,0.003129643094237031,0.0,1.0
82,0.003150718131908661,0.0,1.0
83,0.0031823306884161055,0.0,1.0
84,0.0032034057260877354,0.0,1.0
85,0.003266630839102625,0.0,1.0
86,0.0032982433956100696,0.0,1.0
87,0.0033193184332816995,0.0,1.0
88,0.0033298559521175142,0.0,1.0
89,0.003350930989789144,0.0,1.0
90,0.0033614685086249593,0.0,1.0
91,0.003382543546296589,0.0,1.0
92,0.0034141561028040337,0.0,1.0
93,0.0034352311404756636,0.0,1.0
94,0.003540606328833813,0.0,1.0
95,0.0035616813665054424,0.0,1.0
96,0.0036775940736994066,0.0,1.0
97,0.0036986691113710364,0.0,1.0
98,0.0037092066302068516,0.0,1.0
99,0.003740819186714296,0.0,1.0
100,0.003782969262057556,0.0,1.0
101,0.0038251193374008157,0.0,1.0
102,0.0038461943750724456,0.0,1.0
103,0.003951569563430595,0.0,1.0
104,0.003972644601102224,0.0,1.0
105,0.00398318211993804,0.0,1.0
106,0.004004257157609669,0.0,1.0
107,0.004014794676445484,0.0,1.0
108,0.004035869714117114,0.0,1.0
109,0.004078019789460373,0.0,1.0
110,0.004099094827132004,0.0,1.0
111,0.004130707383639448,0.0,1.0
112,0.0041939324966543375,0.0,1.0
113,0.004215007534325968,0.0,1.0
114,0.004236082571997597,0.0,1.0
115,0.0042571576096692276,0.0,1.0
116,0.004309845203848302,0.0,1.0
117,0.004330920241519932,0.0,1.0
118,0.004383607835699006,0.0,1.0
119,0.004404682873370636,0.0,1.0
120,0.004425757911042266,0.0,1.0
121,0.0044679079863855255,0.0,1.0
122,0.004478445505221341,0.0,1.0
123,0.004510058061728785,0.0,1.0
124,0.0045311330994004155,0.0,1.0
125,0.004552208137072045,0.0,1.0
126,0.004573283174743674,0.0,1.0
127,0.00458382069357949,0.0,1.0
128,0.00460489573125112,0.0,1.0
129,0.00464704580659438,0.0,1.0
130,0.004731345957280898,0.0,1.0
131,0.004752420994952529,0.0,1.0
132,0.004773496032624158,0.0,1.0
133,0.004826183626803233,0.0,1.0
134,0.004868333702146493,0.0,1.0
135,0.004899946258653937,0.0,1.0
136,0.004931558815161382,0.0,1.0
137,0.004952633852833012,0.0,1.0
138,0.004984246409340457,0.0,1.0
139,0.005110696635370236,0.0,1.0
140,0.005152846710713495,0.0,1.0
141,0.005216071823728385,0.0,1.0
