Trial-ID,Status,Iteration,batch_size,dense_units_1,dense_units_2,dense_units_3,dropout_0,dropout_1,dropout_2,filter_1,filter_2,filter_3,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.7959737777709961,0.7209600210189819,0.7959737777709961,0.5511155128479004
1,INTERMEDIATE,1,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8033496737480164,0.7287600040435791,0.8033496737480164,0.5407058596611023
1,INTERMEDIATE,2,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8102555274963379,0.7308533191680908,0.8102555274963379,0.5348092317581177
1,INTERMEDIATE,3,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8169158101081848,0.737226665019989,0.8169158101081848,0.5313514471054077
1,INTERMEDIATE,4,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8236827850341797,0.7384799718856812,0.8236827850341797,0.5247862339019775
1,INTERMEDIATE,5,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8283621072769165,0.7483333349227905,0.8283621072769165,0.5112318992614746
1,INTERMEDIATE,6,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8344991207122803,0.7129466533660889,0.8344991207122803,0.5696870684623718
1,INTERMEDIATE,7,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8392789363861084,0.753933310508728,0.8392789363861084,0.5013647675514221
1,INTERMEDIATE,8,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.8459126353263855,0.7651333212852478,0.8459126353263855,0.4899601936340332
1,INTERMEDIATE,9,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.849674642086029,0.7544533610343933,0.849674642086029,0.5148952007293701
1,COMPLETED,9,512.0,322.0,37.0,117.0,0.04398032865819246,0.39247479503064714,0.24366397899384468,139.0,389.0,230.0,0.00014071524214718034,0.849674642086029,0.7544533610343933,0.849674642086029,0.5148952007293701
2,INTERMEDIATE,0,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.7967819571495056,0.716920018196106,0.7967819571495056,0.5538157224655151
2,INTERMEDIATE,1,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8081024289131165,0.7314133048057556,0.8081024289131165,0.5387392640113831
2,INTERMEDIATE,2,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8152971863746643,0.7372933626174927,0.8152971863746643,0.535176157951355
2,INTERMEDIATE,3,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8214816451072693,0.7423733472824097,0.8214816451072693,0.524004340171814
2,INTERMEDIATE,4,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8288201689720154,0.7379999756813049,0.8288201689720154,0.5219926834106445
2,INTERMEDIATE,5,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8320020437240601,0.7213466763496399,0.8320020437240601,0.5336787104606628
2,INTERMEDIATE,6,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8337458372116089,0.7305733561515808,0.8337458372116089,0.5251262187957764
2,INTERMEDIATE,7,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.840621292591095,0.7615333199501038,0.840621292591095,0.4962683916091919
2,INTERMEDIATE,8,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8418780565261841,0.762773334980011,0.8418780565261841,0.49773722887039185
2,INTERMEDIATE,9,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8460065722465515,0.7647333145141602,0.8460065722465515,0.4912886321544647
2,COMPLETED,9,512.0,71.0,135.0,366.0,0.40007606830014125,0.14266245922684706,0.2065543097509182,63.0,23.0,231.0,0.0010528236985103,0.8460065722465515,0.7647333145141602,0.8460065722465515,0.4912886321544647
3,INTERMEDIATE,0,256.0,341.0,225.0,272.0,0.3714564667230755,0.2930829276402268,0.004690722179886642,155.0,193.0,242.0,0.000720119211445349,0.8035759925842285,0.7203066945075989,0.8035759925842285,0.5513827204704285
