,sig_eff,bkg_eff,bkg_rej
0,0.0,0.0,1.0
1,0.045454545454545456,0.0,1.0
2,0.22727272727272727,0.0,1.0
3,0.22727272727272727,0.14285714285714285,0.8571428571428572
4,0.3181818181818182,0.14285714285714285,0.8571428571428572
5,0.3181818181818182,0.17857142857142858,0.8214285714285714
6,0.36363636363636365,0.17857142857142858,0.8214285714285714
7,0.36363636363636365,0.25,0.75
8,0.45454545454545453,0.25,0.75
9,0.45454545454545453,0.2857142857142857,0.7142857142857143
10,0.5454545454545454,0.2857142857142857,0.7142857142857143
11,0.5454545454545454,0.32142857142857145,0.6785714285714286
12,0.5909090909090909,0.32142857142857145,0.6785714285714286
13,0.5909090909090909,0.35714285714285715,0.6428571428571428
14,0.6363636363636364,0.35714285714285715,0.6428571428571428
15,0.6363636363636364,0.5357142857142857,0.4642857142857143
16,0.7272727272727273,0.5357142857142857,0.4642857142857143
17,0.7272727272727273,0.7857142857142857,0.2142857142857143
18,0.9090909090909091,0.7857142857142857,0.2142857142857143
19,0.9090909090909091,0.9285714285714286,0.0714285714285714
20,1.0,0.9285714285714286,0.0714285714285714
21,1.0,1.0,0.0
