Trial-ID,Status,Iteration,conv_blocks,dense_layers,dense_units,dropout,filter_units,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6597877740859985,0.5066666603088379,0.6597877740859985,0.684640109539032
1,INTERMEDIATE,1,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6888013482093811,0.5093333125114441,0.6888013482093811,0.6808979511260986
1,INTERMEDIATE,2,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6955711841583252,0.5413333177566528,0.6955711841583252,0.6760792136192322
1,INTERMEDIATE,3,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6946040987968445,0.5866666436195374,0.6946040987968445,0.6704620718955994
1,INTERMEDIATE,4,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6899675726890564,0.6053333282470703,0.6899675726890564,0.6639470458030701
1,INTERMEDIATE,5,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.689213752746582,0.6240000128746033,0.689213752746582,0.6586713194847107
1,INTERMEDIATE,6,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6902662515640259,0.6293333172798157,0.6902662515640259,0.6550908088684082
1,INTERMEDIATE,7,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6919444799423218,0.6346666812896729,0.6919444799423218,0.6523027420043945
1,INTERMEDIATE,8,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6931533217430115,0.6399999856948853,0.6931533217430115,0.650907576084137
1,INTERMEDIATE,9,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6934519410133362,0.653333306312561,0.6934519410133362,0.6504864692687988
1,COMPLETED,9,1,3,137,0.18953476441273312,104,1.9404791026828332e-05,0.6955711841583252,0.5413333177566528,0.6955711841583252,0.6760792136192322
2,INTERMEDIATE,0,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.7006769776344299,0.4986666738986969,0.7006769776344299,0.6986676454544067
2,INTERMEDIATE,1,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.7015160918235779,0.562666654586792,0.7015160918235779,0.6705856323242188
2,INTERMEDIATE,2,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.6834537982940674,0.6666666865348816,0.6834537982940674,0.6512513756752014
2,INTERMEDIATE,3,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.682273268699646,0.6586666703224182,0.682273268699646,0.6547394394874573
2,INTERMEDIATE,4,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.687507152557373,0.6453333497047424,0.687507152557373,0.6713972687721252
2,INTERMEDIATE,5,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.6895267367362976,0.6693333387374878,0.6895267367362976,0.6886991262435913
2,INTERMEDIATE,6,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.691204845905304,0.6666666865348816,0.691204845905304,0.7142563462257385
2,INTERMEDIATE,7,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.6942769289016724,0.6613333225250244,0.6942769289016724,0.7502931356430054
2,INTERMEDIATE,8,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.6916599869728088,0.653333306312561,0.6916599869728088,0.7820448279380798
2,INTERMEDIATE,9,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.6907783150672913,0.6506666541099548,0.6907783150672913,0.8204846382141113
2,COMPLETED,9,1,2,152,0.10304924016429746,53,0.00012176861261277437,0.7015160918235779,0.562666654586792,0.7015160918235779,0.6705856323242188
