,auc
0,0.95372828044
1,0.9538606866000001
2,0.954229506552
3,0.9543331600079998
4,0.953971272008
5,0.953857776112
6,0.954046338432
7,0.953661142392
8,0.9535790097119999
9,0.953903411816
