,efp,auc,ado
0,EFP_1_0_0_k_0.5_b_0.5,0.9515341679275758,0.9758773263349922
0,EFP_1_0_0_k_1_b_0.5,0.9510039026937682,0.9750979543405156
0,EFP_1_0_0_k_2_b_0.5,0.9516228561372162,0.9758125944132934
0,EFP_2_1_0_k_0.5_b_0.5,0.9514411334298551,0.9751724446940802
0,EFP_2_1_0_k_0.5_b_1,0.9515303206635048,0.9756566308777136
0,EFP_2_1_0_k_0.5_b_2,0.9515348723435888,0.9756324910787152
0,EFP_2_1_0_k_1_b_0.5,0.9516284809533204,0.9756748971851946
0,EFP_2_1_0_k_1_b_1,0.9517754779480392,0.9757777701322508
0,EFP_2_1_0_k_1_b_2,0.9518251375649578,0.9753987983840834
0,EFP_2_1_0_k_2_b_0.5,0.9517044797067259,0.9758452444199788
0,EFP_2_1_0_k_2_b_1,0.951874016917862,0.9760340913909796
0,EFP_2_1_0_k_2_b_2,0.9517609005157696,0.9756260901569828
0,EFP_2_2_0_k_0.5_b_2,0.951443989965908,0.9757133804439664
0,EFP_2_2_0_k_1_b_2,0.9518999413903412,0.9757341639576164
0,EFP_2_2_0_k_2_b_2,0.9515116449671592,0.9760694497229612
0,EFP_2_3_0_k_0.5_b_0.5,0.9515884400565798,0.9759069884295616
0,EFP_2_3_0_k_0.5_b_2,0.9514244244695462,0.9755269541951508
0,EFP_2_3_0_k_1_b_1,0.9519423354151256,0.9761773886020478
0,EFP_2_3_0_k_1_b_2,0.9514655577103068,0.9756204308310736
0,EFP_2_3_0_k_2_b_0.5,0.951706532394764,0.9758452444199788
0,EFP_2_3_0_k_2_b_1,0.951608889048958,0.9756997201999328
0,EFP_2_3_0_k_2_b_2,0.9516860174823843,0.9759621193148768
0,EFP_2_4_0_k_0.5_b_2,0.9516155414090808,0.9758918055662236
0,EFP_2_4_0_k_1_b_2,0.9514590420941864,0.9755413170835529
0,EFP_2_4_0_k_2_b_2,0.9513473951081214,0.9749700157062492
0,EFP_2_5_0_k_0.5_b_0.5,0.9514188824374435,0.9752829000586484
0,EFP_2_5_0_k_0.5_b_1,0.9515412503517068,0.9757100439504344
0,EFP_2_5_0_k_0.5_b_2,0.9513391990519698,0.9755909436776248
0,EFP_2_5_0_k_1_b_0.5,0.9519715920956666,0.976297291999216
0,EFP_2_5_0_k_1_b_1,0.9518064291086116,0.9757843773428504
0,EFP_2_5_0_k_1_b_2,0.951471829478423,0.9754972716071114
0,EFP_2_5_0_k_2_b_0.5,0.9516752487941854,0.9755252560570772
0,EFP_2_5_0_k_2_b_1,0.9516851902263692,0.9760189467283288
0,EFP_2_5_0_k_2_b_2,0.9516300904093502,0.9757641294233336
0,EFP_3_2_0_k_0.5_b_0.5,0.9514689013663686,0.9755909241475986
0,EFP_3_2_0_k_0.5_b_1,0.9515360779276112,0.9754720876029448
0,EFP_3_2_0_k_0.5_b_2,0.951535361191598,0.9757149806692782
0,EFP_3_2_0_k_1_b_0.5,0.9516705837460993,0.9759621000817719
0,EFP_3_2_0_k_1_b_1,0.9518859697980828,0.9759205325566882
0,EFP_3_2_0_k_1_b_2,0.9518686877737632,0.9760125266138536
0,EFP_3_2_0_k_2_b_0.5,0.9515196099673068,0.9754980521179468
0,EFP_3_2_0_k_2_b_1,0.951628131281314,0.9758557039059256
0,EFP_3_2_0_k_2_b_2,0.951464959022296,0.975271619330479
0,EFP_3_3_0_k_0.5_b_0.5,0.951382514588771,0.9753356680676672
0,EFP_3_3_0_k_0.5_b_1,0.9513928170129616,0.97519006706555
0,EFP_3_3_0_k_0.5_b_2,0.9513853848768242,0.9759364385929118
0,EFP_3_3_0_k_1_b_0.5,0.95117106830486,0.9749827975228432
0,EFP_3_3_0_k_1_b_1,0.9518573958855544,0.9756708187445192
0,EFP_3_3_0_k_1_b_2,0.9517214076510392,0.9753428493703094
0,EFP_3_3_0_k_2_b_0.5,0.9517914651483348,0.9759269912619628
0,EFP_3_3_0_k_2_b_1,0.9515824413924688,0.9755164743723096
0,EFP_3_3_0_k_2_b_2,0.9516461456096472,0.9755820838200698
0,EFP_3_4_0_k_0.5_b_0.5,0.9513675847804948,0.9753964570898208
0,EFP_3_4_0_k_0.5_b_1,0.9513559081882788,0.9753749327905368
0,EFP_3_4_0_k_0.5_b_2,0.951503080871001,0.9757156642007077
0,EFP_3_4_0_k_1_b_0.5,0.9516139272490513,0.9751652635335272
0,EFP_3_4_0_k_1_b_1,0.9517620922437916,0.9758532842381852
0,EFP_3_4_0_k_1_b_2,0.9516483562736879,0.976045388863374
0,EFP_3_4_0_k_2_b_0.5,0.9516591832578882,0.9753669119547328
0,EFP_3_4_0_k_2_b_1,0.95143977650983,0.9756213089714448
0,EFP_3_4_0_k_2_b_2,0.9514080247092428,0.9753332282514507
0,EFP_3_4_1_k_0.5_b_2,0.9514303454136556,0.9751803465470116
0,EFP_3_4_1_k_1_b_2,0.9516448581616234,0.9760004864712194
0,EFP_3_4_1_k_2_b_2,0.9515555769199718,0.9752548168974868
0,EFP_3_5_0_k_0.5_b_0.5,0.9511879603531724,0.9752173502551555
0,EFP_3_5_0_k_0.5_b_1,0.9514882304947264,0.9754549244172976
0,EFP_3_5_0_k_0.5_b_2,0.9514329803897044,0.9754948124405411
0,EFP_3_5_0_k_1_b_0.5,0.9519606119514636,0.9763300589768228
0,EFP_3_5_0_k_1_b_1,0.9518955039662592,0.9757220651326832
0,EFP_3_5_0_k_1_b_2,0.9516138746010504,0.9758933865035287
0,EFP_3_5_0_k_2_b_0.5,0.951651493585746,0.97565255240142
0,EFP_3_5_0_k_2_b_1,0.9514223436135076,0.9753188656615628
0,EFP_3_5_0_k_2_b_2,0.951582386144468,0.975240494053958
0,EFP_3_5_1_k_0.5_b_0.5,0.9514764168305078,0.9754212803273428
0,EFP_3_5_1_k_0.5_b_1,0.9515097559991244,0.9755548212258276
0,EFP_3_5_1_k_0.5_b_2,0.9514489077739988,0.9751676440066216
0,EFP_3_5_1_k_1_b_0.5,0.9520229528326164,0.9762237762237762
0,EFP_3_5_1_k_1_b_1,0.9516533893137812,0.9753628325381516
0,EFP_3_5_1_k_1_b_2,0.9513926473969584,0.9756352135034276
0,EFP_3_5_1_k_2_b_0.5,0.9515334779515632,0.9748498777819116
0,EFP_3_5_1_k_2_b_1,0.9514531136380768,0.9753364681822436
0,EFP_3_5_1_k_2_b_2,0.9516797103702679,0.975738145111864
0,EFP_3_3_1_k_0.5_b_0.5,0.9514512631820428,0.9755493377862304
0,EFP_3_3_1_k_0.5_b_1,0.9516436318736006,0.9758844501910682
0,EFP_3_3_1_k_0.5_b_2,0.9516960879465708,0.9755147761868757
0,EFP_3_3_1_k_1_b_0.5,0.9516338540494196,0.9758933672154916
0,EFP_3_3_1_k_1_b_1,0.9515735094803036,0.9756829761630438
0,EFP_3_3_1_k_1_b_2,0.9515699250882372,0.9756373112629728
0,EFP_3_3_1_k_2_b_0.5,0.9513066536993676,0.9750996342676272
0,EFP_3_3_1_k_2_b_1,0.9516489016736982,0.9758252414755452
0,EFP_3_3_1_k_2_b_2,0.9515237149993826,0.9754404830771768
0,EFP_3_4_2_k_0.5_b_0.5,0.9512470995142664,0.9751984881059158
0,EFP_3_4_2_k_0.5_b_1,0.9515974946247472,0.9752996629117292
0,EFP_3_4_2_k_0.5_b_2,0.9516453013376316,0.9756633149867059
0,EFP_3_4_2_k_1_b_0.5,0.9516701688820914,0.9754836304165888
0,EFP_3_4_2_k_1_b_1,0.9518265842609844,0.9755525969214914
0,EFP_3_4_2_k_1_b_2,0.9515780870803884,0.97586612472196
0,EFP_3_4_2_k_2_b_0.5,0.9513292351157856,0.9748003712534604
0,EFP_3_4_2_k_2_b_1,0.9516391652975179,0.9761836751839272
0,EFP_3_4_2_k_2_b_2,0.9514715596624179,0.9752963833905284
0,EFP_3_5_2_k_0.5_b_0.5,0.9514533506780812,0.9753837537255216
0,EFP_3_5_2_k_0.5_b_1,0.9516506067777296,0.9758805846907922
0,EFP_3_5_2_k_0.5_b_2,0.9515014953749718,0.9755453763526892
0,EFP_3_5_2_k_1_b_0.5,0.9516185863211372,0.9749147475872488
0,EFP_3_5_2_k_1_b_1,0.9515578249280136,0.9753616717914004
0,EFP_3_5_2_k_1_b_2,0.9512237044018336,0.9750676895306858
0,EFP_3_5_2_k_2_b_0.5,0.9515088023671068,0.9754301209051202
0,EFP_3_5_2_k_2_b_1,0.9516114260810048,0.9756589143565358
0,EFP_3_5_2_k_2_b_2,0.9513969283330376,0.9754812496849544
0,EFP_3_5_3_k_0.5_b_0.5,0.9514598177502008,0.9754267631609478
0,EFP_3_5_3_k_0.5_b_1,0.9517651882678488,0.9755500792114064
0,EFP_3_5_3_k_0.5_b_2,0.9514265979735864,0.9752616574693496
0,EFP_3_5_3_k_1_b_0.5,0.9517581583717192,0.9753972965750324
0,EFP_3_5_3_k_1_b_1,0.9516026036248416,0.9752700586724019
0,EFP_3_5_3_k_1_b_2,0.9515175038952676,0.9754116396054148
0,EFP_3_5_3_k_2_b_0.5,0.9515632035041128,0.9756653347436676
0,EFP_3_5_3_k_2_b_1,0.9514811249425948,0.9754020185338984
0,EFP_3_5_3_k_2_b_2,0.951496655566882,0.9755203574291854
0,EFP_4_3_0_k_0.5_b_0.5,0.9513835178447896,0.9754052583572036
0,EFP_4_3_0_k_0.5_b_1,0.9511583310246244,0.9747018761161644
0,EFP_4_3_0_k_0.5_b_2,0.9515188043832918,0.9752852213000442
0,EFP_4_3_0_k_1_b_0.5,0.9516960289945696,0.975831016342288
0,EFP_4_3_0_k_1_b_1,0.9518597672215984,0.976086232941598
0,EFP_4_3_0_k_1_b_2,0.951847480645371,0.9760589716447396
0,EFP_4_3_0_k_2_b_0.5,0.951387056652855,0.9747962295159356
0,EFP_4_3_0_k_2_b_1,0.951650202449722,0.97557974209148
0,EFP_4_3_0_k_2_b_2,0.9516648738899935,0.975250855922568
0,EFP_4_4_0_k_0.5_b_0.5,0.9515332615115591,0.9756365111483964
0,EFP_4_4_0_k_0.5_b_1,0.9514535979900858,0.9752395948850152
0,EFP_4_4_0_k_0.5_b_2,0.9515168514632556,0.9752636973395432
0,EFP_4_4_0_k_1_b_0.5,0.9520097753443728,0.9760243940688679
0,EFP_4_4_0_k_1_b_1,0.9518655845497059,0.9755003348500936
0,EFP_4_4_0_k_1_b_2,0.9516815752743024,0.9758093939626701
0,EFP_4_4_0_k_2_b_0.5,0.9516434311375972,0.9754653062596114
0,EFP_4_4_0_k_2_b_1,0.9516168142571046,0.9755060924724421
0,EFP_4_4_0_k_2_b_2,0.9516554595858197,0.9750252036293228
0,EFP_4_5_0_k_0.5_b_0.5,0.9514482549899868,0.9748827429273702
0,EFP_4_5_0_k_0.5_b_1,0.9513788841727041,0.9750362853992676
0,EFP_4_5_0_k_0.5_b_2,0.9515072715670784,0.9754020775775092
0,EFP_4_5_0_k_1_b_0.5,0.9520876665698136,0.97652220041462
0,EFP_4_5_0_k_1_b_1,0.9518252104129592,0.9757769506377708
0,EFP_4_5_0_k_1_b_2,0.9515456169517876,0.9756277488892428
0,EFP_4_5_0_k_2_b_0.5,0.9513695010365304,0.9754029564138981
0,EFP_4_5_0_k_2_b_1,0.9515043595510246,0.9759614730678726
0,EFP_4_5_0_k_2_b_2,0.9516044990248768,0.9751955487847812
0,EFP_4_5_1_k_0.5_b_0.5,0.9515408887677004,0.975689279807716
0,EFP_4_5_1_k_0.5_b_1,0.9514077256452372,0.9753084641720694
0,EFP_4_5_1_k_0.5_b_2,0.951509302431116,0.97530044326383
0,EFP_4_5_1_k_1_b_0.5,0.9522122113641172,0.9763629206219157
0,EFP_4_5_1_k_1_b_1,0.9516842316263514,0.9754965107031242
