Trial-ID,Status,Iteration,batch_size,dense_units_1,dense_units_2,dense_units_3,dropout_0,dropout_1,dropout_2,filter_1,filter_2,filter_3,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5000133514404297,0.4986400008201599,0.5000133514404297,0.6934292316436768
1,INTERMEDIATE,1,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6933019161224365
1,INTERMEDIATE,2,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6931619048118591
1,INTERMEDIATE,3,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6931610703468323
1,INTERMEDIATE,4,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6931614875793457
1,INTERMEDIATE,5,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6931893229484558
1,INTERMEDIATE,6,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6932332515716553
1,INTERMEDIATE,7,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6931855082511902
1,INTERMEDIATE,8,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.6931841373443604
1,INTERMEDIATE,9,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5,0.4986400008201599,0.5,0.693170964717865
1,COMPLETED,9,128.0,22.0,39.0,110.0,0.2735152956450183,0.16304537310187356,0.24623234974786695,398.0,243.0,341.0,0.001026034638494633,0.5000133514404297,0.4986400008201599,0.5000133514404297,0.6934292316436768
2,INTERMEDIATE,0,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6933327317237854
2,INTERMEDIATE,1,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.693178117275238
2,INTERMEDIATE,2,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.693612813949585
2,INTERMEDIATE,3,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6932212114334106
2,INTERMEDIATE,4,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6933559775352478
2,INTERMEDIATE,5,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.693230390548706
2,INTERMEDIATE,6,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6932435035705566
2,INTERMEDIATE,7,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6932750344276428
2,INTERMEDIATE,8,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6931857466697693
2,INTERMEDIATE,9,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6932380199432373
2,COMPLETED,9,128.0,159.0,314.0,229.0,0.2791969706408831,0.3603098528966455,0.29561689798860746,287.0,98.0,336.0,0.005899932399131164,0.5,0.4986400008201599,0.5,0.6933327317237854
3,INTERMEDIATE,0,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.6007112860679626,0.576253354549408,0.6007112860679626,0.676925003528595
3,INTERMEDIATE,1,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.678016185760498,0.613706648349762,0.678016185760498,0.6469767093658447
3,INTERMEDIATE,2,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.7359738945960999,0.6593199968338013,0.7359738945960999,0.6008099317550659
3,INTERMEDIATE,3,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.7884243130683899,0.7033066749572754,0.7884243130683899,0.5482384562492371
3,INTERMEDIATE,4,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.8002778887748718,0.6981199979782104,0.8002778887748718,0.5574086904525757
3,INTERMEDIATE,5,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.829112708568573,0.7132800221443176,0.829112708568573,0.5243263840675354
3,INTERMEDIATE,6,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.8537848591804504,0.7614533305168152,0.8537848591804504,0.4742586314678192
3,INTERMEDIATE,7,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.8646330237388611,0.7728666663169861,0.8646330237388611,0.46023672819137573
3,INTERMEDIATE,8,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.875215470790863,0.7818933129310608,0.875215470790863,0.4401954710483551
3,INTERMEDIATE,9,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.8783112168312073,0.7868533134460449,0.8783112168312073,0.44185957312583923
3,COMPLETED,9,128.0,213.0,255.0,115.0,0.2501613683469161,0.12363103748775744,0.36075521585547154,100.0,130.0,145.0,0.00045570811486797476,0.8783112168312073,0.7868533134460449,0.8783112168312073,0.44185957312583923
4,INTERMEDIATE,0,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.6002320647239685,0.559066653251648,0.6002320647239685,0.6834602355957031
4,INTERMEDIATE,1,512.0,108.0,197.0,287.0,0.11599145096560382,0.22754688032206055,0.17263828061568454,263.0,340.0,284.0,0.00022030354402437826,0.6552311778068542,0.5994399785995483,0.6552311778068542,0.6582720875740051
