Trial-ID,Status,Iteration,batch_size,dense_units_1,dense_units_2,dense_units_3,dropout_0,dropout_1,dropout_2,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8665564656257629,0.7850161790847778,0.8665564656257629,0.46364396810531616
1,INTERMEDIATE,1,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8728896379470825,0.7932161092758179,0.8728896379470825,0.4632927179336548
1,INTERMEDIATE,2,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8749740719795227,0.7932027578353882,0.8749740719795227,0.4547843039035797
1,INTERMEDIATE,3,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8745546340942383,0.7932693958282471,0.8745546340942383,0.45509639382362366
1,INTERMEDIATE,4,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8748562335968018,0.7885094881057739,0.8748562335968018,0.45679137110710144
1,INTERMEDIATE,5,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8727297186851501,0.7927361130714417,0.8727297186851501,0.469758003950119
1,INTERMEDIATE,6,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8747124075889587,0.7883228063583374,0.8747124075889587,0.470864862203598
1,INTERMEDIATE,7,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8796449303627014,0.7891894578933716,0.8796449303627014,0.46105140447616577
1,INTERMEDIATE,8,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8772133588790894,0.7858961820602417,0.8772133588790894,0.46508514881134033
1,INTERMEDIATE,9,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8773242831230164,0.7863495349884033,0.8773242831230164,0.4747268557548523
1,COMPLETED,9,128.0,317.0,153.0,121.0,0.41083664868307224,0.06822034232198321,0.27091432205734794,0.0016175478801687309,0.8796449303627014,0.7891894578933716,0.8796449303627014,0.46105140447616577
2,INTERMEDIATE,0,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8599866032600403,0.7799362540245056,0.8599866032600403,0.5029892921447754
2,INTERMEDIATE,1,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8635619878768921,0.785936176776886,0.8635619878768921,0.5018107295036316
2,INTERMEDIATE,2,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8672786951065063,0.7858295440673828,0.8672786951065063,0.49780434370040894
2,INTERMEDIATE,3,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8688684701919556,0.7868028283119202,0.8688684701919556,0.5187022089958191
2,INTERMEDIATE,4,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8691372871398926,0.7889094948768616,0.8691372871398926,0.4998909831047058
2,INTERMEDIATE,5,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8686888813972473,0.7854295372962952,0.8686888813972473,0.5085846781730652
2,INTERMEDIATE,6,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8680474758148193,0.780949592590332,0.8680474758148193,0.5234876275062561
2,INTERMEDIATE,7,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8697414398193359,0.7829895615577698,0.8697414398193359,0.5293087363243103
2,INTERMEDIATE,8,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8703397512435913,0.7794962525367737,0.8703397512435913,0.5188352465629578
2,INTERMEDIATE,9,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8687354326248169,0.7820695638656616,0.8687354326248169,0.5120506286621094
2,COMPLETED,9,256.0,22.0,314.0,61.0,0.3456261595212409,0.499531294190511,0.3193444298072208,0.004013125320825648,0.8703397512435913,0.7794962525367737,0.8703397512435913,0.5188352465629578
3,INTERMEDIATE,0,128.0,120.0,169.0,221.0,0.18868467939260164,0.3157851669054264,0.38178540263404936,0.00041558516613358296,0.8665760159492493,0.787682831287384,0.8665760159492493,0.46111780405044556
3,INTERMEDIATE,1,128.0,120.0,169.0,221.0,0.18868467939260164,0.3157851669054264,0.38178540263404936,0.00041558516613358296,0.8727423548698425,0.7939494252204895,0.8727423548698425,0.4501199424266815
3,INTERMEDIATE,2,128.0,120.0,169.0,221.0,0.18868467939260164,0.3157851669054264,0.38178540263404936,0.00041558516613358296,0.876143753528595,0.7974026799201965,0.876143753528595,0.44579488039016724
3,INTERMEDIATE,3,128.0,120.0,169.0,221.0,0.18868467939260164,0.3157851669054264,0.38178540263404936,0.00041558516613358296,0.8784462809562683,0.7998960018157959,0.8784462809562683,0.44398292899131775
