Trial-ID,Status,Iteration,conv_blocks,dense_layers,dense_units,dropout,filter_units,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6449112296104431,0.5920000076293945,0.6449112296104431,0.6791124939918518
1,INTERMEDIATE,1,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6619923114776611,0.6346666812896729,0.6619923114776611,0.6620069742202759
1,INTERMEDIATE,2,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6583086848258972,0.6186666488647461,0.6583086848258972,0.6721794605255127
1,INTERMEDIATE,3,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6410143375396729,0.5893333554267883,0.6410143375396729,0.7322271466255188
1,INTERMEDIATE,4,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6299208998680115,0.5866666436195374,0.6299208998680115,0.8058976531028748
1,INTERMEDIATE,5,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6300346851348877,0.5920000076293945,0.6300346851348877,0.8997798562049866
1,INTERMEDIATE,6,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6139776706695557,0.5706666707992554,0.6139776706695557,0.9864017963409424
1,INTERMEDIATE,7,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6032825112342834,0.5680000185966492,0.6032825112342834,1.1187294721603394
1,INTERMEDIATE,8,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6079616546630859,0.5653333067893982,0.6079616546630859,1.2696499824523926
1,INTERMEDIATE,9,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.5979633927345276,0.5786666870117188,0.5979633927345276,1.420125126838684
1,COMPLETED,9,1,4,58,0.11869465962397761,22,0.0008136660605929145,0.6619923114776611,0.6346666812896729,0.6619923114776611,0.6620069742202759
2,INTERMEDIATE,0,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6798129081726074,0.5759999752044678,0.6798129081726074,0.672173798084259
2,INTERMEDIATE,1,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6761292815208435,0.6213333606719971,0.6761292815208435,0.6598559021949768
2,INTERMEDIATE,2,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6708101630210876,0.6240000128746033,0.6708101630210876,0.6538757681846619
2,INTERMEDIATE,3,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6694589853286743,0.6133333444595337,0.6694589853286743,0.6553232669830322
2,INTERMEDIATE,4,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6665291786193848,0.6213333606719971,0.6665291786193848,0.6671072840690613
2,INTERMEDIATE,5,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6614802479743958,0.6293333172798157,0.6614802479743958,0.6865265369415283
2,INTERMEDIATE,6,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6555210947990417,0.6106666922569275,0.6555210947990417,0.7125707268714905
2,INTERMEDIATE,7,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6526482701301575,0.6079999804496765,0.6526482701301575,0.7427657246589661
2,INTERMEDIATE,8,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6490925550460815,0.6106666922569275,0.6490925550460815,0.7757406234741211
2,INTERMEDIATE,9,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6429769992828369,0.6133333444595337,0.6429769992828369,0.8034841418266296
2,COMPLETED,9,1,2,149,0.21605411810809605,124,5.388570225610507e-05,0.6798129081726074,0.5759999752044678,0.6798129081726074,0.672173798084259
