Trial-ID,Status,Iteration,batch_size,dense_layers,dense_units,dropout,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.7829152941703796,0.697546660900116,0.7829152941703796,0.5329563617706299
1,INTERMEDIATE,1,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8262590765953064,0.7522533535957336,0.8262590765953064,0.4778660833835602
1,INTERMEDIATE,2,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8609941005706787,0.771399974822998,0.8609941005706787,0.4454534351825714
1,INTERMEDIATE,3,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8769482970237732,0.7827600240707397,0.8769482970237732,0.4266918897628784
1,INTERMEDIATE,4,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8830151557922363,0.7877200245857239,0.8830151557922363,0.41650834679603577
1,INTERMEDIATE,5,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8883402347564697,0.7931866645812988,0.8883402347564697,0.4081445634365082
1,INTERMEDIATE,6,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8945690393447876,0.7998266816139221,0.8945690393447876,0.3996475636959076
1,INTERMEDIATE,7,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.8982657790184021,0.8033066391944885,0.8982657790184021,0.39272555708885193
1,INTERMEDIATE,8,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.9018940329551697,0.8083999752998352,0.9018940329551697,0.3893851935863495
1,INTERMEDIATE,9,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.9036610126495361,0.8079466819763184,0.9036610126495361,0.3841157555580139
1,INTERMEDIATE,10,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.9066274762153625,0.8077866435050964,0.9066274762153625,0.38187816739082336
1,INTERMEDIATE,11,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.9094101786613464,0.8171466588973999,0.9094101786613464,0.3748714327812195
1,INTERMEDIATE,12,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.9110805988311768,0.8186799883842468,0.9110805988311768,0.37457993626594543
1,INTERMEDIATE,13,32.0,3.0,139.0,0.14659313693870096,0.0001744079802715771,0.9143388867378235,0.8250666856765747,0.9143388867378235,0.3686060309410095
