Trial-ID,Status,Iteration,batch_size,conv_blocks,dense_layers,dense_units,dropout,filter_units,learning_rate,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7433910965919495,0.6763333082199097,0.7433910965919495,0.6051437258720398
1,INTERMEDIATE,1,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7554042935371399,0.6868399977684021,0.7554042935371399,0.5876030921936035
1,INTERMEDIATE,2,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7666596174240112,0.690933346748352,0.7666596174240112,0.5817525386810303
1,INTERMEDIATE,3,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7745916843414307,0.7031733393669128,0.7745916843414307,0.5806713104248047
1,INTERMEDIATE,4,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7701514959335327,0.7004266381263733,0.7701514959335327,0.5793620944023132
1,INTERMEDIATE,5,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7789614796638489,0.7074000239372253,0.7789614796638489,0.5705547332763672
1,INTERMEDIATE,6,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7884274125099182,0.7169333100318909,0.7884274125099182,0.5620916485786438
1,INTERMEDIATE,7,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.782107949256897,0.7091866731643677,0.782107949256897,0.5653868317604065
1,INTERMEDIATE,8,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7817277312278748,0.7107999920845032,0.7817277312278748,0.5652459263801575
1,INTERMEDIATE,9,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7948731780052185,0.7218133211135864,0.7948731780052185,0.5703033804893494
1,INTERMEDIATE,10,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7893716096878052,0.7151866555213928,0.7893716096878052,0.58284592628479
1,INTERMEDIATE,11,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7916716933250427,0.719426691532135,0.7916716933250427,0.6009107232093811
1,INTERMEDIATE,12,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.787937343120575,0.7191333174705505,0.787937343120575,0.6039590239524841
1,INTERMEDIATE,13,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7850879430770874,0.7150533199310303,0.7850879430770874,0.6094735860824585
1,INTERMEDIATE,14,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7848482131958008,0.7143733501434326,0.7848482131958008,0.6323236227035522
1,COMPLETED,14,128,2,3,64,0.4545206315155323,53,0.0008851053639988521,0.7948731780052185,0.7218133211135864,0.7948731780052185,0.5703033804893494
