Trial-ID,Status,Iteration,batch_size,dense_units_1,dense_units_2,dropout_1,dropout_2,filter_units_1,filter_units_2,filter_units_3,kernel_size_1,kernel_size_2,kernel_size_3,learning_rate,max_pool_1,Objective,accuracy,auc,loss
1,INTERMEDIATE,0,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7515565156936646,0.6759466528892517,0.7515565156936646,0.662254273891449
1,INTERMEDIATE,1,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7576932907104492,0.6911466717720032,0.7576932907104492,0.620873212814331
1,INTERMEDIATE,2,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.770469605922699,0.7031466960906982,0.770469605922699,0.5891191959381104
1,INTERMEDIATE,3,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7817439436912537,0.7110133171081543,0.7817439436912537,0.5714913010597229
1,INTERMEDIATE,4,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7876034379005432,0.7167466878890991,0.7876034379005432,0.56048583984375
1,INTERMEDIATE,5,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7919608354568481,0.7208266854286194,0.7919608354568481,0.5549098253250122
1,INTERMEDIATE,6,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7942987084388733,0.7237333059310913,0.7942987084388733,0.5508842468261719
1,INTERMEDIATE,7,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7968121767044067,0.7253066897392273,0.7968121767044067,0.548218309879303
1,INTERMEDIATE,8,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.7994073033332825,0.7242666482925415,0.7994073033332825,0.547290027141571
1,INTERMEDIATE,9,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.8007208704948425,0.7285333275794983,0.8007208704948425,0.5434224605560303
1,COMPLETED,9,256,54,242,0.2601980241299771,0.4494235128796572,131,209,273,3,1,1,2.064163035016027e-05,3,0.8007208704948425,0.7285333275794983,0.8007208704948425,0.5434224605560303
2,INTERMEDIATE,0,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.7990077137947083,0.7015733122825623,0.7990077137947083,0.5635436773300171
2,INTERMEDIATE,1,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.8061301708221436,0.7305866479873657,0.8061301708221436,0.5402881503105164
2,INTERMEDIATE,2,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.8149006366729736,0.7379733324050903,0.8149006366729736,0.5260458588600159
2,INTERMEDIATE,3,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.8211337327957153,0.7434133291244507,0.8211337327957153,0.5190248489379883
2,INTERMEDIATE,4,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.8272692561149597,0.748853325843811,0.8272692561149597,0.5107266902923584
2,INTERMEDIATE,5,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.8314940929412842,0.7458933591842651,0.8314940929412842,0.5101785659790039
2,INTERMEDIATE,6,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.8353667855262756,0.7535466551780701,0.8353667855262756,0.5049504637718201
2,INTERMEDIATE,7,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.838360607624054,0.7481333613395691,0.838360607624054,0.5183941125869751
2,INTERMEDIATE,8,128,120,39,0.19429522549986278,0.10841277249233311,294,63,139,1,2,3,0.00016022533351865218,3,0.840731680393219,0.735040009021759,0.840731680393219,0.5297287106513977
